,uci_moves
173,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 b8c6
174,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 b8c6 c1g5 e7e6
175,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 b8c6 c1g5 d8a5
176,e2e4 c7c6 d2d4 d7d5 e4d5 c6d5 c2c4 g8f6 b1c3 b8c6 g1f3 c8g4
177,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 f2f3
178,e2e4 c7c6 d2d4 d7d5 b1c3
179,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 e7f6
180,e2e4 c7c6 b1c3 d7d5 g1f3
181,e2e4 c7c6 b1c3 d7d5 g1f3 c8g4
182,e2e4 c7c6 b1c3 d7d5 g1f3 c8g4 h2h3 g4f3
183,e2e4 c7c6 b1c3 d7d5 g1f3 c8g4 h2h3 g4h5
184,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 f1c4
185,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3
186,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 b8d7 d1c2
187,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 b8d7
188,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2
189,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 b8d7 b1c3 c7c6 d1d3
190,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 b8d7 d1c2 c7c6 b1d2 b7b5
191,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3 e8g8 e1g1 b8d7 d1c2 c7c6 b1d2 b7b6
192,d2d4 g8f6 c2c4 e7e6 g2g3
193,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 d1a4
194,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 g1f3
195,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 g1f3 f8e7
196,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4 g1f3 b8c6 d1a4 f8b4
197,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 c7c5 g1f3 b8c6
198,e2e4 e7e5 d2d4 e5d4
199,e2e4 e7e5 d2d4 e5d4 d1d4 b8c6 d4e3 g8f6
200,e2e4 e7e5 d2d4 e5d4 d1d4 b8c6
201,e2e4 e7e5 d2d4 e5d4 d1d4 b8c6 d4e3
202,h2h3
203,d2d4 d7d5 g1f3 g8f6 e2e3 e7e6
204,d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 f1d3
